RORC
IL1RAP
CD3E
HIF1A
IKBKB
IL21R
MAPK1
PLCG1
JAK2
JAK3
HLA-DQA2
IL6R
JAK1
STAT5B
HLA-DRB5
SMAD4
SMAD3
NFATC3
NFATC1
FOXP3
TGFBR2
RUNX1
ZAP70
CD4
PRKCQ
CD247
IL6ST
TGFB1
EBI3
IL2RG
HLA-DMA
HLA-DMB
LCK
IL1B
IL2RA
TBX21
IL2RB
HLA-DPB1
HLA-DRA
HLA-DOA
IL12RB1
HLA-DQA1
HLA-DRB1
HLA-DPA1
HLA-DQB1
