ratio,sol_nodes_num,sol_nodes_ratio,remain_ratio
0.01,1050.0,0.8735440931780366,0.8801341156747695
0.01,1044.5,0.8689683860232945,0.8726232610014147
0.01,1043.6666666666667,0.8682750970604548,0.8758498849803392
0.01,1046.0,0.870216306156406,0.8805492659017795
0.01,1043.0,0.867720465890183,0.8817394987059464
0.01,1042.3333333333333,0.8671658347199113,0.881908375797861
0.01,1039.857142857143,0.8651057760874732,0.8815034301742017
0.01,1040.625,0.8657445923460898,0.8824974741915423
0.01,1043.3333333333333,0.8679977814753188,0.8829712028894753
0.01,1043.4,0.8680532445923459,0.8831486588717142
0.02,1026.0,0.8535773710482529,0.8867761452031115
0.02,1025.5,0.8531613976705491,0.8726175533385743
0.02,1023.3333333333334,0.8513588463671659,0.8760835681991419
0.02,1028.0,0.8552412645590682,0.8780126337405354
0.02,1027.4,0.8547420965058237,0.8765817297621818
0.02,1027.3333333333333,0.8546866333887965,0.8748074279777599
0.02,1028.2857142857142,0.8554789636320418,0.8726232056933227
0.02,1029.125,0.8561772046589018,0.8722637923766153
0.02,1029.888888888889,0.8568127195415048,0.8738996267091984
0.02,1027.8,0.8550748752079868,0.871657343363173
0.03,1030.0,0.8569051580698835,0.8879310344827587
0.03,1025.5,0.8531613976705491,0.8799176948673401
0.03,1026.3333333333333,0.8538546866333888,0.8767613873205354
0.03,1019.75,0.8483777038269551,0.8736470992630896
0.03,1022.8,0.8509151414309484,0.875538839820028
0.03,1022.6666666666666,0.8508042151968941,0.8750754208861747
0.03,1023.5714285714286,0.8515569289279771,0.8740106835733582
0.03,1024.5,0.8523294509151415,0.8742538256118201
0.03,1023.8888888888889,0.8518210390090589,0.8731469308425867
0.03,1024.2,0.8520798668885192,0.8737603199501087
0.04,1017.0,0.846089850249584,0.8633276740237691
0.04,1018.0,0.8469217970049917,0.8645440409201258
0.04,1018.6666666666666,0.8474764281752635,0.8649874817226418
0.04,1018.25,0.8471297836938436,0.8640242692090008
0.04,1019.2,0.8479201331114808,0.8666911134804082
0.04,1017.8333333333334,0.8467831392124237,0.8677520937034489
0.04,1016.5714285714286,0.8457333016401235,0.8656326966679241
0.04,1016.25,0.8454658901830283,0.8666958509637441
0.04,1015.8888888888889,0.8451654649657977,0.8674269633087687
0.04,1015.7,0.8450083194675541,0.8663985526921776
0.05,1020.0,0.848585690515807,0.8800690250215704
0.05,1015.0,0.8444259567387687,0.8735109073605706
0.05,1018.6666666666666,0.8474764281752635,0.8769142483178998
0.05,1016.0,0.8452579034941764,0.873439110895959
0.05,1016.0,0.8452579034941763,0.8715404043630258
0.05,1016.6666666666666,0.8458125346644482,0.8718316155080009
0.05,1017.7142857142857,0.846684097932018,0.8739385399468703
0.05,1017.875,0.8468178036605658,0.8726411377077488
0.05,1017.8888888888889,0.8468293584766131,0.8725227160141937
0.05,1015.8,0.8450915141430949,0.8710707886468535
0.06,1024.0,0.8519134775374376,0.8700084961767205
0.06,1010.5,0.8406821963394343,0.8640059692587561
0.06,1011.0,0.8410981697171381,0.8638310557288179
0.06,1009.75,0.8400582362728786,0.864496892141144
0.06,1011.0,0.8410981697171381,0.8660181145712842
0.06,1012.6666666666666,0.8424847476428176,0.8679987584167409
0.06,1009.7142857142857,0.8400285238887568,0.8651222569090989
0.06,1010.125,0.8403702163061564,0.8651160482369646
0.06,1009.3333333333334,0.8397115917914586,0.8636772123288264
0.06,1007.9,0.8385191347753743,0.8623522261386789
0.07,1014.0,0.8435940099833611,0.8688946015424165
0.07,1001.0,0.8327787021630616,0.8552309464270855
0.07,1002.3333333333334,0.8338879645036051,0.8572148040447921
0.07,998.25,0.8304908485856906,0.8574454807533505
0.07,1001.0,0.8327787021630616,0.8576272921514505
0.07,1002.3333333333334,0.8338879645036051,0.8605408122655555
0.07,1002.8571428571429,0.8343237461373901,0.8596049552623024
0.07,1003.75,0.8350665557404326,0.862032490771834
0.07,1003.6666666666666,0.8349972268441487,0.8623238998431628
0.07,1004.4,0.8356073211314475,0.8619878565028568
0.08,1001.0,0.8327787021630616,0.8607050730868444
0.08,999.5,0.8315307820299501,0.8700001136359332
0.08,998.6666666666666,0.8308374930671104,0.8652647395627251
0.08,1005.5,0.836522462562396,0.8698787872301834
0.08,1002.8,0.8342762063227953,0.8667901960201501
0.08,1003.3333333333334,0.8347199112590128,0.8672401734336744
0.08,1000.1428571428571,0.8320656049441407,0.8650005058002924
0.08,998.75,0.8309068219633944,0.8636327828170521
0.08,1002.5555555555555,0.8340728415603623,0.865942230083955
0.08,1002.0,0.8336106489184691,0.8650009280377589
0.09,1002.0,0.8336106489184693,0.8615649183147034
0.09,994.5,0.8273710482529119,0.8621635780384707
0.09,997.6666666666666,0.8300055463117028,0.8640295360360187
0.09,995.75,0.8284109816971714,0.8623078663127284
0.09,996.0,0.8286189683860232,0.8649121402845988
0.09,993.8333333333334,0.82681641708264,0.8612689791108078
0.09,993.5714285714286,0.8265985262657475,0.8605034488766865
0.09,994.125,0.8270590682196339,0.8610427708000297
0.09,994.7777777777778,0.8276021445738584,0.861738317226508
0.09,991.8,0.8251247920133112,0.8610383561858767
0.1,1012.0,0.8419301164725458,0.8664383561643836
0.1,1007.5,0.8381863560732113,0.8600276887204896
0.1,1003.6666666666666,0.8349972268441487,0.8605490243142365
0.1,1001.25,0.8329866888519135,0.8624423359212668
0.1,998.2,0.8304492512479202,0.8606897994729442
0.1,996.8333333333334,0.829312257348863,0.8589940768803744
0.1,996.1428571428571,0.8287378179225102,0.860373707128387
0.1,997.75,0.8300748752079867,0.8625009067808169
