ratio,sol_nodes_num,sol_nodes_ratio_origin,sol_nodes_ratio,remain_ratio_origin,remain_ratio
0.21,936,0.778702163,0.874946251,0.784576697,0.881546851
0.21,944,0.785357737,0.882424424,0.789297659,0.886851302
0.21,926,0.770382696,0.865598535,0.774895397,0.870668985
0.21,956,0.795341098,0.893641683,0.802013423,0.901138678
0.21,941,0.782861897,0.879620109,0.788107203,0.885513711
0.21,940,0.78202995,0.878685337,0.787269682,0.884572676
0.21,944,0.785357737,0.882424424,0.791946309,0.889827313
0.21,932,0.775374376,0.871207164,0.781223806,0.877779557
0.21,939,0.781198003,0.877750565,0.785774059,0.882892201
0.21,926,0.770382696,0.865598535,0.776194468,0.872128616
0.21,947,0.787853577,0.885228738,0.793132328,0.891159919
0.21,938,0.780366057,0.876815794,0.784937238,0.881951953
0.21,941,0.782861897,0.879620109,0.785475793,0.882557071
0.21,923,0.767886855,0.862794219,0.774328859,0.870032426
0.21,925,0.769550749,0.864663763,0.774058577,0.869728738
0.21,917,0.762895175,0.85718559,0.769941226,0.865102501
0.21,940,0.78202995,0.878685337,0.788590604,0.886056858
0.21,929,0.772878536,0.868402849,0.776755853,0.872759385
0.21,948,0.788685524,0.88616351,0.793969849,0.892100954
0.21,943,0.78452579,0.881489652,0.790444258,0.888139616
0.21,939,0.781198003,0.877750565,0.786432161,0.883631642
