ratio,sol_nodes_num,sol_nodes_ratio_origin,sol_nodes_ratio,remain_ratio_origin,remain_ratio
0.14,969,0.806156406,0.905793715,0.810200669,0.91033783
0.14,975,0.811148087,0.911402345,0.815899582,0.916741103
0.14,955,0.794509151,0.892706911,0.796497081,0.89494054
0.14,981,0.816139767,0.917010974,0.819548872,0.920841429
0.14,952,0.792013311,0.889902597,0.794657763,0.892873891
0.14,990,0.823627288,0.925423919,0.826377295,0.928513815
0.14,957,0.796173045,0.894576455,0.799498747,0.898313199
0.14,974,0.81031614,0.910467573,0.811666667,0.911985019
0.14,982,0.816971714,0.917945746,0.820384294,0.921780106
0.14,958,0.797004992,0.895511227,0.801003344,0.900003757
0.14,980,0.81530782,0.916076202,0.819397993,0.920671902
0.14,981,0.816139767,0.917010974,0.822296731,0.923928911
0.14,970,0.806988353,0.906728487,0.810359231,0.91051599
0.14,982,0.816971714,0.917945746,0.821070234,0.922550825
0.14,962,0.800332779,0.899250313,0.801666667,0.900749064
0.14,959,0.797836938,0.896445998,0.800500835,0.89943914
0.14,967,0.804492512,0.903924171,0.807852966,0.907699962
0.14,983,0.817803661,0.918880518,0.823973177,0.925812558
0.14,964,0.801996672,0.901119856,0.8053467,0.904883933
0.14,968,0.805324459,0.904858943,0.808688388,0.908638638
0.14,970,0.806988353,0.906728487,0.810359231,0.91051599
0.14,977,0.81281198,0.913271888,0.815525876,0.916321209
0.14,952,0.792013311,0.889902597,0.795321637,0.893619817
0.14,963,0.801164725,0.900185084,0.805183946,0.904701063
0.14,968,0.805324459,0.904858943,0.808688388,0.908638638
0.14,956,0.795341098,0.893641683,0.799331104,0.898124836
0.14,981,0.816139767,0.917010974,0.816819317,0.917774513
0.14,951,0.791181364,0.888967825,0.794486216,0.892681142
0.14,962,0.800332779,0.899250313,0.806370495,0.906034264
0.14,973,0.809484193,0.909532801,0.811509591,0.911808529
0.14,982,0.816971714,0.917945746,0.819699499,0.921010673
0.14,984,0.818635607,0.919815289,0.822742475,0.924429747
0.14,969,0.806156406,0.905793715,0.808173478,0.908060088
