	sample	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil	group
1	GSM3615293	0.328240240452046	0.413343252911668	0.263574242802112	-0.0868869620743518	0.509808412008995	0.0283576672482881	0.174797703873202	0.394423020533476	0.152545204685625	-0.0626391339146182	-0.0050438199320525	0.277352740814522	-0.21321599706568	-0.0239542879371537	0.0519886880247087	0.344606582726414	0.303919264970693	0.385394529877704	0.3774827447735	0.0569460700005146	0.215929915103507	0.356036753003485	0.332792210887267	0.19505910703972	-0.256094642918037	0.0638845044360032	0.604153427768642	-0.179615409138026	NASH
2	GSM3615294	0.270396142664887	0.342901766642406	0.17293184957469	-0.144584395116281	0.475214605269741	0.0256962953775197	0.0916337903761908	0.346034881390537	0.133882701424168	-0.0582658911457139	-0.0142001508029242	0.147150891392252	-0.295946807600305	-0.124510164141251	0.00865619293351292	0.3043657961696	0.28701923379414	0.38973744524639	0.224854675646632	-0.039993415510043	0.201383845129238	0.343498523503031	0.369462455575829	0.0981654630431991	-0.341755422103022	-0.097563324042688	0.564498666307783	-0.225426163948725	NASH
3	GSM3615295	0.261058358835917	0.374647308968479	0.191267569658219	-0.184114319896879	0.493778354040144	-0.00149558384292804	0.0928186916934707	0.375609385062148	0.121418098322731	-0.0709878918892283	-0.0498940469068278	0.148439617364374	-0.277386981920772	-0.116816662969484	0.00357617730223756	0.299311027514108	0.286996221084881	0.431302771401185	0.259900732167229	0.000626575142422421	0.199664852519874	0.341661575970525	0.352987255187341	0.119138678722455	-0.273814015425216	-6.21687598641784e-05	0.587910744698301	-0.306377112345437	NASH
4	GSM3615296	0.361402725203197	0.399819594974765	0.231261381259144	-0.0937384539758926	0.490695349832168	-0.0108978910914791	0.130646444356108	0.375618679393	0.153358270494641	-0.0713699863652688	-0.0192257403599418	0.206089271413517	-0.29015580742325	-0.0464820792172798	0.00179878648935624	0.311547571582198	0.262886762743967	0.380763225939457	0.30228894190362	0.0206399318284453	0.209596038493616	0.345280855561191	0.346118165253887	0.149168111695336	-0.279975910707501	-0.0991062421339741	0.58692692895777	-0.225009740335458	NASH
5	GSM3615297	0.318710543014309	0.386199053313135	0.198424328415579	-0.0943790503929821	0.494647272965069	0.00654944585054006	0.104047238462078	0.365733737171932	0.138991414003528	-0.0524593118926271	-0.00924249284960559	0.210222150844734	-0.277408203680228	-0.0730072897831674	0.0518495390252004	0.316724022924151	0.264264010477059	0.404964700547773	0.284012756750285	0.0103552779537932	0.202871229309614	0.355360783449094	0.340787538421839	0.135396702821895	-0.27515780489871	-0.0434194993994772	0.579320628581113	-0.207392896033486	NASH
6	GSM3615298	0.294641444787779	0.368342458102971	0.172460971092225	-0.201471604347787	0.491124242835782	0.0263362088543367	0.0887422394793657	0.337023900315414	0.121456278907003	-0.0606014446772261	-0.026656140116975	0.209284455081617	-0.270185141921258	-0.0529371623202742	0.0178227394131072	0.317758605832868	0.275727298986306	0.375621563251741	0.249653135878621	-0.0253374059476594	0.16730843014345	0.370609688395616	0.339365044127847	0.147190096119744	-0.289360780162554	-0.0998050709855526	0.576277001603509	-0.145345807422012	NASH
7	GSM3615299	0.323195986907097	0.426586328090771	0.277235302058255	-0.0720631012986463	0.523306713062241	0.0298606170462431	0.132485798603891	0.388138661958862	0.173648041796499	-0.0221680707530227	0.00155987073012543	0.322567079975201	-0.171692968832282	0.0285636247805941	-0.00329444553713864	0.358451545784527	0.273022082719705	0.409062457312788	0.436778051159976	0.0407465099458722	0.264447828630781	0.413365059862129	0.353572285561835	0.215566346272622	-0.266679164491829	0.0100409384367555	0.607832448513302	-0.111907064542671	NASH
8	GSM3615300	0.24831081416614	0.385491867294507	0.194492943027124	-0.151994044627912	0.507045480978247	0.00776662040651538	0.133059797438317	0.350131103034224	0.158816984795038	-0.0486448368341291	-0.00206759660620523	0.257586470477619	-0.256658523204641	-0.0440726776284684	0.0176496143841741	0.341061331317363	0.291466939962711	0.390361112668865	0.275901701505166	0.0202696574113756	0.194285045983513	0.356342874049209	0.365625953566794	0.158065406892544	-0.269801139981866	-0.055149998309137	0.593915747905658	-0.202856012408973	NASH
9	GSM3615301	0.280311806634484	0.407419775234048	0.176855039394036	-0.0693879905777868	0.496453184011064	0.0522909091865079	0.122488814801604	0.386302983974692	0.15278232661487	-0.0454384545116754	0.0411227220491637	0.243315031176712	-0.275665684891655	-0.0192826776212074	0.0931232352774871	0.347627774788343	0.283207789133581	0.342011793263873	0.296750776426919	0.0291587322314395	0.1876760154814	0.37346489843043	0.370245847519583	0.156672715147383	-0.267502019636068	-0.0327252959889619	0.543470540721758	-0.0155055386005561	NASH
10	GSM3615302	0.195222419977774	0.349654528373735	0.148288354843221	-0.101058901327128	0.48001530719111	0.00375281394604087	0.0820294334512817	0.359021487574836	0.115377929865777	0.00111782053996479	-0.0287870015441048	0.183947152568462	-0.332401543461759	-0.0534413706863088	0.00561794521995631	0.298912384262605	0.25978021416907	0.394754208635231	0.202033182226613	-0.00308775879117239	0.19651172524244	0.364522912893289	0.307877198596506	0.134813801705193	-0.231785286284477	-0.13575111775584	0.552440036545261	-0.21886730180086	NASH
